p cnf 75 290
6 -10 54 0
-46 -18 57 0
21 -35 58 0
60 -1 23 0
-44 58 -28 0
2 13 -19 0
13 -31 17 0
21 64 71 0
36 25 -59 0
-55 -42 65 0
-5 33 31 0
-36 16 27 0
55 -45 40 0
67 -4 -15 0
59 -50 -56 0
-16 47 -63 0
42 -49 -11 0
-17 -48 -15 0
-44 21 -49 0
-59 -30 -39 0
75 -31 15 0
41 -39 -4 0
27 17 59 0
17 -42 28 0
-17 -50 -70 0
-59 17 68 0
-4 -1 43 0
-11 -67 46 0
63 -32 -75 0
20 23 -67 0
36 40 -33 0
43 61 -62 0
-49 -62 -55 0
68 45 -70 0
-69 27 -54 0
1 -37 -45 0
-14 12 51 0
69 7 6 0
-45 57 -70 0
70 15 -57 0
-69 -74 -11 0
-75 -32 52 0
-38 59 53 0
-8 -38 -12 0
-68 49 55 0
-1 -63 55 0
18 50 42 0
33 1 -26 0
-57 -28 50 0
-5 -73 -49 0
-59 -54 -1 0
20 11 45 0
-26 -34 -47 0
-56 68 -2 0
-24 -60 -59 0
-27 36 65 0
-14 32 -9 0
-31 -64 -3 0
-70 68 -61 0
-56 -47 -26 0
-57 -70 -34 0
29 -16 -5 0
60 -23 -30 0
25 -61 -56 0
4 37 -43 0
9 -8 16 0
62 -14 -74 0
-46 62 -60 0
47 -68 -3 0
-55 14 -34 0
-32 -34 74 0
34 18 -39 0
-70 -29 -31 0
25 51 64 0
71 37 -13 0
42 -65 36 0
25 -43 -40 0
40 41 -56 0
-73 58 23 0
-62 -49 -31 0
-13 -61 -12 0
37 -27 -28 0
45 -67 -41 0
-16 -35 6 0
-10 1 39 0
54 -59 -40 0
-42 5 10 0
-12 -1 -40 0
-56 55 -30 0
-49 6 51 0
33 -49 22 0
39 -19 9 0
75 -58 52 0
69 30 -23 0
63 52 50 0
14 -9 -52 0
-51 -47 -59 0
73 -29 64 0
-30 -13 59 0
-72 -37 16 0
28 71 67 0
-20 39 64 0
24 -34 69 0
-11 -55 58 0
12 -61 55 0
-60 6 72 0
55 -44 59 0
17 -46 13 0
-48 38 -22 0
-43 28 59 0
6 43 51 0
-14 -55 25 0
-66 -22 45 0
-52 33 22 0
63 64 45 0
52 43 -15 0
-35 -2 61 0
-28 -21 -41 0
59 -60 7 0
-47 46 -62 0
36 42 10 0
73 60 34 0
53 -50 64 0
64 -8 -17 0
30 8 52 0
-43 60 66 0
18 15 26 0
45 4 -29 0
8 2 -47 0
-38 75 -39 0
33 -7 -70 0
-65 -67 -26 0
-73 -34 -14 0
-70 -17 -52 0
10 51 -4 0
-31 18 8 0
14 22 -18 0
-28 18 67 0
-48 28 -33 0
-52 -46 5 0
-18 16 -48 0
-46 72 -71 0
68 -57 -9 0
-70 10 -74 0
55 38 31 0
-5 53 -59 0
19 39 50 0
58 -57 -28 0
41 74 -21 0
46 -25 -53 0
26 -5 -53 0
-4 -69 64 0
-53 9 39 0
52 35 -9 0
1 -31 39 0
34 -19 44 0
-2 -67 -43 0
66 55 7 0
64 -51 -38 0
-54 38 -17 0
45 41 9 0
-20 -4 52 0
-34 15 31 0
72 -37 -27 0
26 34 -36 0
33 75 5 0
9 69 -66 0
48 -69 -10 0
47 65 54 0
-5 -12 -15 0
-49 11 20 0
-9 -15 41 0
24 6 -28 0
-70 72 59 0
-30 -54 -2 0
65 68 74 0
14 -69 -62 0
9 -75 -56 0
-57 -3 64 0
5 25 12 0
-4 53 75 0
37 -35 69 0
41 -8 45 0
-44 -15 -57 0
8 -49 73 0
-11 -38 49 0
68 -4 -39 0
-25 29 -73 0
-19 -53 -63 0
42 -49 55 0
-53 -46 59 0
6 -5 -54 0
59 53 34 0
61 -44 17 0
49 -54 50 0
-67 29 71 0
-62 -67 40 0
45 41 53 0
-42 13 -23 0
30 -51 -32 0
20 -66 31 0
-73 -40 -18 0
29 -75 20 0
-15 -59 19 0
-25 -41 -1 0
-14 -9 8 0
57 -47 74 0
-54 -4 50 0
-7 37 -45 0
-26 -5 23 0
16 -54 -69 0
40 72 2 0
28 74 -9 0
8 -43 58 0
-53 35 27 0
-16 -46 -66 0
-9 -43 -18 0
-30 -75 -31 0
30 -75 36 0
-60 41 47 0
-52 11 -10 0
15 31 -29 0
-2 -48 63 0
-38 -17 -65 0
71 43 45 0
57 30 72 0
-67 -10 -45 0
25 -21 1 0
-74 1 52 0
44 16 -59 0
2 34 -8 0
-23 -19 74 0
-47 40 -48 0
29 -55 14 0
-71 -54 45 0
-24 -31 30 0
42 -15 61 0
-1 -64 53 0
-58 -14 -71 0
-60 -52 -66 0
-51 -7 -37 0
-57 61 -17 0
-51 4 -17 0
11 28 -46 0
-60 26 -6 0
-33 -66 38 0
-41 31 -15 0
65 51 70 0
-7 19 -57 0
60 19 -26 0
31 -56 74 0
-2 15 -66 0
-56 -71 24 0
-52 -23 17 0
37 -73 -16 0
-55 -6 45 0
7 -20 -32 0
-27 41 21 0
63 47 44 0
43 18 36 0
40 -5 4 0
2 48 8 0
8 -69 32 0
-14 39 -34 0
-3 -64 18 0
-30 -68 -55 0
36 -35 -2 0
-42 -29 35 0
54 32 -39 0
-1 43 38 0
-43 -70 3 0
-60 29 52 0
66 -69 58 0
-3 -6 53 0
75 62 -71 0
-55 68 -27 0
-22 38 58 0
-35 61 -66 0
9 -4 -55 0
35 63 -50 0
22 -50 -3 0
37 11 28 0
-66 -69 -59 0
-51 -75 36 0
-24 -71 -17 0
44 -5 25 0
19 -67 -30 0
-60 -6 -59 0
31 -22 75 0
38 24 22 0
